2019-01-10 06:28:37 [tencent.spiders.hr] WARNING: {'title': '21227-海外运营（日文/英文）（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '25924-内容AI算法工程师（上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '21227-海外运营（日文/英文）（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '22989-数据库产品运营经理', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '30359-运营开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '29310-腾讯云智慧零售交付架构师（上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'PCG09-内容平台算法组TeamLeader', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '15579-新项目游戏策划（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '21226-游戏运营经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '21226-游戏发行制作人（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '21226-欧美区域游戏运营发行经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '21226-游戏发行制作人（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '21226-欧美区域游戏运营发行经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'HY6-互娱运营开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '25928-项目管理经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '16175-日本商业化策划（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'SA-腾讯社交广告Java后台开发工程师（北京）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-地图公交高级数据产品经理', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '22989-腾讯云UI开发工程师（深圳）', 'position': '设计类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'PCG04-AI线上实验平台高级研发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'PCG04-高级测试开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '22989-腾讯云UI开发工程师（深圳）', 'position': '设计类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'PCG04-AI线上实验平台高级研发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'PCG04-高级测试开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '30622-腾讯社交广告QQ广告内容广告商业运营经理-整合营销方向（上海/深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'TME-腾讯音乐视觉算法工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': 'TME-全民K歌产品运营策划（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '27192-互娱商业分析经理（深圳）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '30632-腾讯广告SMB渠道运营经理（上海）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '29050-CII政策发展经理', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:38 [tencent.spiders.hr] WARNING: {'title': '23671-企鹅号原创独家首发平台运营（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '29050-CII政策发展经理', 'position': '职能类', 'publish_date': '2019-01-10'}
